# algorithm,n,procs,T_parallel_sec,T_seq_sec
# Processes: 1, base_repeats: 5
row,1000,1,0.003927950,0.003232800
col,1000,1,0.004124500,0.003232800
block,1000,1,0.004777500,0.003232800
row,2000,1,0.014964850,0.014655400
col,2000,1,0.014734300,0.014655400
block,2000,1,0.020996450,0.014655400
row,3000,1,0.029997200,0.031828400
col,3000,1,0.032466600,0.031828400
block,3000,1,0.043203400,0.031828400
row,4000,1,0.053323400,0.056320600
col,4000,1,0.058110600,0.056320600
block,4000,1,0.077784600,0.056320600
row,5000,1,0.087720400,0.087743400
col,5000,1,0.091350400,0.087743400
block,5000,1,0.121246800,0.087743400
